ECO,name,moves
A00,Venezolana,d3 c5 Nc3 Nc6 g3
A00,Reversed Rat,d3 e5
A00,Spike Deferred; Myers Spike Attack,d3 g6 g4
A40,Queen Pawn Opening; A40,d4
A40,St George's Gambit,d4 a6 c4 b5 e4 e6 cxb5 axb5
A40,Polish Defense,d4 b5
A40,"Spassky Gambit, Polish Defense",d4 b5 e4 Bb7 Bxb5
A40,"Queen Fianchetto, Queen Pawn Game",d4 b6
A40,Eastbourne Gambit,d4 b6 c4 Bb7 Bxb5
A43,Staunton Defense; Benoni C-G; A43,d4 c5
A43,"Zilbermints Gambit; Nakamura Gambit, Benoni",d4 c5 b4 cxb4
A43,Old Benoni,d4 c5 d5 d6
A43,"Schmid Variation, Benoni",d4 c5 d5 d6 Nc3 g6
A44,"Pawn Thrust, Benoni; A44",d4 c5 d5 e5
A44,Blockade Variation; Semi-Benoni; Russian Variation,d4 c5 d5 e5 e4 d6
A43,Franco-Benoni; Franco-Sicilian,d4 c5 d5 e6 e4
A43,"Clarendon Court Variation, Benoni",d4 c5 d5 f5
A43,Benoni-Staunton Gambit,d4 c5 d5 f5 e4
A43,"Snail Variation, Benoni",d4 c5 d5 Na6
A43,Benoni-Indian Defense,d4 c5 d5 Nf6
A56,"Vulture Defense, Benoni",d4 c5 d5 Nf6 c4 Ne4
A43,"Woozle Defense, Benoni",d4 c5 d5 Nf6 Nc3 Qa5
A43,"Kingside move order, Benoni",d4 c5 d5 Nf6 Nf3
A43,"Habichd; Hawk Variation, Benoni",d4 c5 d5 Nf6 Nf3 c4
A43,"Hawk Variation, Benoni",d4 c5 d5 Nf6 Nf3 e4
A43,Benoni Gambit Accepted,d4 c5 dxc5
A43,"Cormorant Gambit, Benoni",d4 c5 dxc5 b6
A43,"Schlenker Defense, Benoni",d4 c5 dxc5 Na6
A43,Zilbermints-Benoni Gambit,d4 c5 Nf3 cxd4 b4
A43,"Tamarkin Countergambit, Benoni",d4 c5 Nf3 cxd4 b4 e5
A41,Anglo-Slav Opening,d4 c6 c4 d6
D00,Queen Pawn Game; Close Opening; D00,d4 d5
D00,Sarratt Attack,d4 d5 Bf4
D00,"Steinitz Countergambit, Queen Pawn Game",d4 d5 Bf4 c5
D00,Morris Gambit,d4 d5 Bf4 c5 e4
D00,Morris Counter-Gambit,d4 d5 Bf4 c5 e4 dxe4
D00,"Bishop Attack; Levitsky Attack, Queen Pawn Game",d4 d5 Bg5
D00,Zot,d4 d5 Bg5
D00,"Welling Variation, Queen Pawn Game",d4 d5 Bg5 Bg4
D00,"Euwe Variation, Queen Pawn Game",d4 d5 Bg5 h6 Bh4 c6 Nf3 Qb6
D06,Queen's Gambit; Aleppo Gambit; D06,d4 d5 c4
D06,"Zilbermints Gambit, QGD",d4 d5 c4 b5
D06,"Brieger Defense; Sahovic Defense, QGD; Baltic Defense",d4 d5 c4 Bf5
D31,"Baltic Defense, QGD",d4 d5 c4 Bf5 cxd5 Bxb1 Qa4+ c6 dxc6 Nxc6
D31,"Argentinian Gambit, QGD",d4 d5 c4 Bf5 cxd5 Bxb1 Qa4+ c6 dxc6 Nxc6 Rxb1 Qxd4
D06,"Pseudo-Slav, QGD",d4 d5 c4 Bf5 Nc3 e6 Nf3 c6
D06,"Pseudo-Chigorin, QGD",d4 d5 c4 Bf5 Nc3 e6 Nf3 Nc6
D06,"Queen Attack, Baltic Defens, QGD",d4 d5 c4 Bf5 Nc3 e6 Qb3
D06,"Austrian Defense; Summetrical Defense, QGD",d4 d5 c4 c5
D06,"Gusev Countergambit, QGD",d4 d5 c4 c5 cxd5 Nf6
D06,"Haberditz Variation, QGD",d4 d5 c4 c5 cxd5 Nf6 e4 Nxe4 dxc5 Qa5+
D06,"Salvio Countergambit, QGD",d4 d5 c4 c5 dxc5 d4
D10,"Slav Defense; Czech Defense, QGD; D10",d4 d5 c4 c6
D10,"Exchange Variation, Slav",d4 d5 c4 c6 cxd5
D10,Slav Pawn Game,d4 d5 c4 c6 e3
D10,"Diemer Gambit, Slav",d4 d5 c4 c6 e4
D10,"Alekhine Attack, Slav",d4 d5 c4 c6 Nc3 dxc4 e4
D10,"Winawer Counter Gambit, Slav",d4 d5 c4 c6 Nc3 e5
D10,"Anti-Winawer Gambit, Slav",d4 d5 c4 c6 Nc3 e5 e4
D11,"Modern Line, Slav; D11",d4 d5 c4 c6 Nf3
D11,Slav Bishop's Game,d4 d5 c4 c6 Nf3 Bf5
D11,"Bonet Gambit, Slav",d4 d5 c4 c6 Nf3 Nf6 Bg5
D13,"Exchange Variation, Slav; D13",d4 d5 c4 c6 Nf3 Nf6 cxd5
D14,"Symmetrical Line, Slav; D14",d4 d5 c4 c6 Nf3 Nf6 cxd5 cxd5 Nc3 Nc6 Bf4 Bf5
D14,"Trifunovic Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 cxd5 cxd5 Nc3 Nc6 Bf4 Bf5 e3 e6 Qb3 Bb4
D11,"Quiet Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 e3
D12,"Schallopp Defense, Slav; D12",d4 d5 c4 c6 Nf3 Nf6 e3 Bf5
D12,"Amsterdam Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 e3 Bf5 cxd5 cxd5 Nc3
D12,"Rotterdam Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 e3 Bf5 cxd5 cxd5 Qb3
D12,"Landau Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 e3 Bf5 cxd5 cxd5 Qb3 Qc8 Bd2 e6 Na3
D12,"Pin Defense, Slav",d4 d5 c4 c6 Nf3 Nf6 e3 Bg4
D11,"Breyer Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nbd2
D15,"Three Knights Variation, Slav; D15",d4 d5 c4 c6 Nf3 Nf6 Nc3
D15,"Chameleon Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 a6
D15,"Advance System, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 c5
D15,"Two Knights Attack, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4
D16,"Alapin Variation, Slav; D16",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4
D17,Czech Defense; Open Slav Defense; D17,d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5
D18,"Dutch Variation, Slav; D18",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 e3
D19,"Main Line, Czech Variation, Slav; D19",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 e3 e6 Bxc4 Bb4 O-O O-O Qe2
D18,"Mareschall Variation, Slav; Lasker Variation",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 e3 Na6
D17,"Krause Attack, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5
D17,"Wiesbaden Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5 e6
D17,"Sharp Line, Wiesbaden Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5 e6 f3 Bb4 e4
D17,"Fazekas Gambit, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5 Na6 e4
D17,"Carlsbad Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Ne5 Nbd7 Nxc4 Qc7 g3 e5
D17,"Baarn Variation, Slav; Bled Attack",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bf5 Nh4
D16,"Steiner Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Bg4
D16,"Soultanbeieff Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 e6
D16,"Smyslov Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 a4 Na6
D15,"Alekhine Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 e3
D15,"Alekhine Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 e3 b5 a4 b4
D15,"Geller Variation; Geller-Tolush Var, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 dxc4 e4
D15,"Schlechter Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 g6
D15,"Suchting Variation, Slav",d4 d5 c4 c6 Nf3 Nf6 Nc3 Qb6
D20,Queen's Gambit Accepted; D20,d4 d5 c4 dxc4
D20,"Old Variation, QGA",d4 d5 c4 dxc4 e3
D20,"Korchnoi Gambit, QGA",d4 d5 c4 dxc4 e3 e5 Bc4 exd4 Qb3 Qe7 Kf1
D20,"Novikov Gambit, QGA",d4 d5 c4 dxc4 e3 e5 Bc4 exd4 Qb3 Qe7 Nd2
D20,"Christensen Gambit, QGA",d4 d5 c4 dxc4 e3 e5 Bc4 exd4 Qb3 Qe7 Nf3
D20,"Saduleto Variation, QGA; Central Variation, QGA",d4 d5 c4 dxc4 e4
D20,"Greco Variation, QGA",d4 d5 c4 dxc4 e4 b5
D20,"Rubinstein Variation, QGA",d4 d5 c4 dxc4 e4 c5
D20,"Yefimov Gambit, QGA",d4 d5 c4 dxc4 e4 c5 d5 b5
D20,"Linares Variation, QGA",d4 d5 c4 dxc4 e4 c5 d5 Nf6 Nc3 b5
D20,"McDonnell Defense, QGA",d4 d5 c4 dxc4 e4 e5
D20,"Somov Gambit, QGA",d4 d5 c4 dxc4 e4 e5 Bxc4
D01,Betbeder; Veresov; Levitzky; Parisian,d4 d5 c4 dxc4 e4 f5
D20,"Versov; Betbeder; Schwartz Defense, QGA",d4 d5 c4 dxc4 e4 f5
D20,"Modern Defense, QGA",d4 d5 c4 dxc4 e4 Nc6
D20,"Alekhine System, QGA",d4 d5 c4 dxc4 e4 Nf6
D20,"Gunsberg Defense; Prianishenmo Gambit, QGA",d4 d5 c4 dxc4 Nc3 c5 d5 Nf6 Nc3 e6 e4 exd5 e5
D21,"Blackburne's Move, QGA; Normal Variation, QGA; D21",d4 d5 c4 dxc4 Nf3
D21,"Alekhine Variation, QGA",d4 d5 c4 dxc4 Nf3 a6
D22,D22,d4 d5 c4 dxc4 Nf3 a6 e3
D22,"Haberditz Variation, QGA",d4 d5 c4 dxc4 Nf3 a6 e3 b5
D22,"Alekhine Variation, QGA",d4 d5 c4 dxc4 Nf3 a6 e3 Bg4
D22,"Borisenko-Furman Variation, QGA",d4 d5 c4 dxc4 Nf3 a6 e4
D21,"Slav Gambit, QGA",d4 d5 c4 dxc4 Nf3 b5
D21,"Gunsberg Defense, QGA",d4 d5 c4 dxc4 Nf3 c5
D21,"Prianishenmo Gambit, QGA",d4 d5 c4 dxc4 Nf3 c5 d5 Nf6 Nc3 e6 e4 exd5 e5
D21,"Rosenthal Variation, QGA",d4 d5 c4 dxc4 Nf3 e6
D21,"Godes Variation, QGA",d4 d5 c4 dxc4 Nf3 Nd7
D23,D23,d4 d5 c4 dxc4 Nf3 Nf6
D25,D25,d4 d5 c4 dxc4 Nf3 Nf6 e3
D25,"Flohr; Winawer Variation, QGA",d4 d5 c4 dxc4 Nf3 Nf6 e3 Be6
